OBJECTID,SHAPE,BEZ,BEZ_N,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDKATEGORIE_N,FUNDE,DATIERUNG,DATIERUNG_N,k-means_PC1,k-means_PC2,k-means_UMAP1,k-means_UMAP2,k-means(FUNDE),dbscan_PC1,dbscan_PC2,dbscan_UMAP1,dbscan_UMAP2,dbscan(FUNDE),agnes_PC1,agnes_PC2,agnes_UMAP1,agnes_UMAP2,agnes(FUNDE),"k-means(BEZ_N, FUNDKATEGORIE_N)","dbscan(BEZ_N, FUNDKATEGORIE_N)","agnes(BEZ_N, FUNDKATEGORIE_N)","k-means(BEZ_N, DATIERUNG_N)","dbscan(BEZ_N, DATIERUNG_N)","agnes(BEZ_N, DATIERUNG_N)"
4548313,POINT (16.356813840034945 48.2049968009383),7,0.2727272727272727,Arthur-Schnitzler-Platz,1,,2,0.25,mauerwerk grab keramik münze,21,0.625,0.0576353874319175,0.125568086069294,-15.594147,3.9530463,0,0.05763536587243,0.1255680932282764,-1.4644189,19.130945,0,0.0576353721448147,0.1255681212039534,21.76243,0.60648656,0,0,1,1,2,0,1
4548314,POINT (16.23628528900322 48.16912163426722),13,0.5454545454545455,Lainzer Tiergarten,,,1,0.0,radiolarit silex schlagabfälle,32,0.96875,-0.0036552017498586,0.056845094964068,-21.733385,13.446245,0,-0.0036552303876841,0.0568451231485258,-31.933464,31.024574,-1,-0.0036552184299921,0.056845073430869,48.239162,17.879478,0,1,0,1,0,0,1
4548315,POINT (16.37785132709351 48.206659010855155),1,0.0,Dominikanerbastei,,,2,0.25,mauerwerk planierung grubehäuser steinkistengrab lehmböden estrich keramik glas metall,12,0.34375,0.0436049271446586,-0.0600268673366259,-21.226053,12.6494875,0,0.0436050097077116,-0.0600268824474426,0.51414675,16.07459,-1,0.0436047698290084,-0.0600267422387113,24.385687,0.8943084,0,0,1,1,1,1,0
4548316,POINT (16.352906651615324 48.19314484924469),6,0.2272727272727272,Hofmühlgasse,1,5,2,0.25,mauerwerk,21,0.625,0.8011318815615338,-0.2084214997512493,-11.676937,21.298908,2,0.8011318718911935,-0.2084214774364369,-21.372696,16.354832,0,0.8011318575200804,-0.2084214833961833,-4.303411,22.51573,2,0,1,1,2,0,1
4548317,POINT (16.35618807084036 48.21625872969751),9,0.3636363636363636,Schwarzspanierstraße,,,2,0.25,mauerwerk keramik ofenkachel,21,0.625,0.1035548183556348,-0.1758905044927396,-33.125366,6.4792657,0,0.1035548019128331,-0.1758904947500854,-15.905049,34.702892,-1,0.1035548058039943,-0.1758905208545237,47.486973,5.647237,0,0,1,1,2,0,1
4548318,POINT (16.37999186917525 48.210384257936695),1,0.0,Dominikanerbastei,12,24,2,0.25,mauerwerk keramik,11,0.3125,0.2630987996482917,-0.5272165874486079,-0.59898365,23.689508,2,0.2630988000880049,-0.5272166017443013,-16.786564,26.138483,0,0.2630987992158183,-0.5272165946154572,2.4455233,23.425714,2,0,1,1,1,1,0
4548319,POINT (16.37861219455909 48.21015873149204),1,0.0,Fleischmarkt,20,28,2,0.25,planierschicht grube mauerwerk keramik,12,0.34375,0.0975988286099689,-0.2007140537885773,-14.722717,1.1465956,0,0.0975988569919478,-0.2007141267595823,0.1633101,17.151443,-1,0.0975988352605891,-0.2007141005654807,25.644684,0.3160667,0,0,1,1,1,1,0
4548320,POINT (16.374607080200324 48.20993409708686),1,0.0,Lugeck,,,2,0.25,planierschicht mauerwerk grube,12,0.34375,0.2520429657582119,-0.0495672414265265,-14.708421,1.1537437,0,0.2520429902253723,-0.0495673020674128,0.1847642,17.114763,-1,0.2520429640466911,-0.0495672826821475,25.583357,0.34158784,0,0,1,1,1,1,0
4548321,POINT (16.377725323037374 48.20851127334069),1,0.0,Dr.-Karl-Lueger-Platz,,,2,0.25,mauerwerk grab keramik,11,0.3125,0.1671045017689304,-0.3127064905907563,-15.436472,4.65711,2,0.1671044657873054,-0.3127064745123246,-0.8589211,6.7729654,0,0.1671044807282828,-0.3127064614134263,21.429361,1.380038,0,0,1,1,1,1,0
4548322,POINT (16.372949894942646 48.20741835495945),1,0.0,Liliengasse,2,,2,0.25,mauerwerk straßeschotterung grube keramik glas,12,0.34375,0.0707674288375704,-0.1527248359681058,-23.008095,14.21675,0,0.0707675759106191,-0.1527249630314962,-30.131346,30.645683,-1,0.0707673039165369,-0.1527247468840512,46.512756,14.364799,0,0,1,1,1,1,0
