OBJECTID,SHAPE,BEZ,BEZ_N,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDKATEGORIE_N,FUNDE,FUNDE_N,DATIERUNG,DATIERUNG_N,"k-means(BEZ_N, FUNDE_N)","dbscan(BEZ_N, FUNDE_N)","agnes(BEZ_N, FUNDE_N)","k-means(BEZ_N, FUNDE_N, DATIERUNG_N)","dbscan(BEZ_N, FUNDE_N, DATIERUNG_N)","agnes(BEZ_N, FUNDE_N, DATIERUNG_N)","k-means(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)","dbscan(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)","agnes(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)"
4541149,POINT (16.38649664561297 48.193964487626076),3,0.0909090909090909,Fasangasse,1,,1,0.0,395,0.5367847411444142,27,0.8125,2,86,0,1,0,0,3,0,0
4541150,POINT (16.373908999731153 48.21106768969628),1,0.0,Bauernmarkt,19,21,1,0.0,33,0.0435967302452316,27,0.8125,2,3,0,1,0,0,3,0,0
4541150,POINT (16.373908999731153 48.21106768969628),1,0.0,Bauernmarkt,19,21,1,0.0,234,0.3174386920980926,27,0.8125,2,25,0,1,0,0,3,0,0
4541150,POINT (16.373908999731153 48.21106768969628),1,0.0,Bauernmarkt,19,21,1,0.0,715,0.9727520435967304,27,0.8125,0,26,0,3,0,0,2,0,0
4541150,POINT (16.373908999731153 48.21106768969628),1,0.0,Bauernmarkt,19,21,1,0.0,626,0.8514986376021798,27,0.8125,0,27,0,3,0,0,2,0,0
4541151,POINT (16.369832385043637 48.203229727476185),1,0.0,Opernring,2,,1,0.0,319,0.433242506811989,27,0.8125,2,2,0,1,0,0,3,0,0
4541152,POINT (16.369595424010615 48.2099456924881),1,0.0,Tuchlauben,2,14,2,0.25,659,0.896457765667575,27,0.8125,0,27,0,3,0,0,2,0,0
4541152,POINT (16.369595424010615 48.2099456924881),1,0.0,Tuchlauben,2,14,2,0.25,422,0.5735694822888283,27,0.8125,0,13,0,1,0,0,3,0,0
4541153,POINT (16.368873118573653 48.209914469164524),1,0.0,Bognergasse,2,,4,0.75,460,0.6253405994550408,33,1.0,0,13,0,1,0,0,3,2,0
4541154,POINT (16.400377208291324 48.18836652085666),3,0.0909090909090909,Rennweg,95,,2,0.25,630,0.8569482288828338,27,0.8125,0,18,0,3,0,0,2,0,0
4541155,POINT (16.3796240058403 48.19944709791464),3,0.0909090909090909,Marokkanergasse,,,1,0.0,319,0.433242506811989,21,0.625,2,16,0,1,0,0,3,0,0
4541156,POINT (16.370194078141743 48.21216557287843),1,0.0,Wipplingerstraße,10,,2,0.25,715,0.9727520435967304,27,0.8125,0,26,0,3,0,0,2,0,0
4541156,POINT (16.370194078141743 48.21216557287843),1,0.0,Wipplingerstraße,10,,2,0.25,15,0.0190735694822888,27,0.8125,2,3,0,1,0,0,3,0,0
4541157,POINT (16.38494757165168 48.1916035298577),3,0.0909090909090909,Jacquingasse,31,,1,0.0,14,0.0177111716621253,27,0.8125,2,75,0,1,0,0,3,0,0
4541158,POINT (16.36939436098208 48.211244452203566),1,0.0,Parisergasse,4,,2,0.25,715,0.9727520435967304,15,0.4375,0,26,0,3,1,0,2,0,0
4541158,POINT (16.36939436098208 48.211244452203566),1,0.0,Parisergasse,4,,2,0.25,15,0.0190735694822888,15,0.4375,2,3,0,0,1,0,0,0,0
4541159,POINT (16.37410642080828 48.21080361981486),1,0.0,Fischhofgasse,,,2,0.25,422,0.5735694822888283,15,0.4375,0,13,0,0,1,0,0,0,0
4541159,POINT (16.37410642080828 48.21080361981486),1,0.0,Fischhofgasse,,,2,0.25,715,0.9727520435967304,15,0.4375,0,26,0,3,1,0,2,0,0
4541159,POINT (16.37410642080828 48.21080361981486),1,0.0,Fischhofgasse,,,2,0.25,15,0.0190735694822888,15,0.4375,2,3,0,0,1,0,0,0,0
4541160,POINT (16.370182529063428 48.20083348616224),1,0.0,Karlsplatz,3,,1,0.0,670,0.9114441416893732,32,0.96875,0,27,0,3,0,0,2,0,0
4541161,POINT (16.369616480362915 48.20170941324852),1,0.0,Kärntner Straße,59,,1,0.0,422,0.5735694822888283,21,0.625,0,13,0,1,0,0,3,0,0
4541161,POINT (16.369616480362915 48.20170941324852),1,0.0,Kärntner Straße,59,,1,0.0,457,0.6212534059945504,21,0.625,0,13,0,1,0,0,2,0,0
4541162,POINT (16.359144971996567 48.214997687766925),9,0.3636363636363636,Alser Straße,,,3,0.5,620,0.8433242506811989,27,0.8125,0,67,0,3,0,0,2,0,0
4541162,POINT (16.359144971996567 48.214997687766925),9,0.3636363636363636,Alser Straße,,,3,0.5,174,0.2356948228882834,27,0.8125,2,-1,0,1,0,0,3,0,0
4541162,POINT (16.359144971996567 48.214997687766925),9,0.3636363636363636,Alser Straße,,,3,0.5,516,0.7016348773841962,27,0.8125,0,-1,0,3,0,0,2,0,0
